Subdomain,IP,SOA-Primary-NS
www.gauravs.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.nitin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.amrutiya.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.joycee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.pedropombo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.radhakrishna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.sjolad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.atulsingh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.admin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.sudhir.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.homecelllab.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
physics.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
mail.pedropombo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.kprasad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.arnapurna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.neeldhara.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.nitin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.monamehta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.sudhir.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.vijay.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.amrutiya.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.tannistha.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.radhakrishna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.gmanoj.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.amit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
appayee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
amalthea.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
cpcalendars.monamehta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.area51.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
venture.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
cpanel.vineet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
dms.iitgn.ac.in,14.139.98.88,dnsm.iitgn.ac.in.
srip.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
webmail.manishk.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.amit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.sairam.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
gmanoj.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.rupak.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
apply.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
adixit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.ramesh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.vineet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.viru.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
lists.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
sriram.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
sports.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
monamehta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
whiteboard.iitgn.ac.in,14.139.98.240,dnsm.iitgn.ac.in.
writingstudio.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
btech2009.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
webmail.nihar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
sairam.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
students.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
mail.sairam.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.atulsingh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
viru.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
