Subdomain,IP
webdisk.amrutiya.people.iitgn.ac.in,204.15.132.106
cpcalendars.naran.people.iitgn.ac.in,204.15.132.106
cpcalendars.gauravs.people.iitgn.ac.in,204.15.132.106
webdisk.demo.people.iitgn.ac.in,204.15.132.106
www.ramesh.people.iitgn.ac.in,204.15.132.106
cpcalendars.amrutiya.people.iitgn.ac.in,204.15.132.106
cpanel.krjp.people.iitgn.ac.in,204.15.132.106
cpanel.bireswar.people.iitgn.ac.in,204.15.132.106
cpanel.chandanmishra.people.iitgn.ac.in,204.15.132.106
cpanel.manua.people.iitgn.ac.in,204.15.132.106
cpanel.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106
hegder.people.iitgn.ac.in,204.15.132.106
www.tannistha.people.iitgn.ac.in,204.15.132.106
mail.nitin.people.iitgn.ac.in,204.15.132.106
mail.surjeet.people.iitgn.ac.in,204.15.132.106
mail.mana.people.iitgn.ac.in,204.15.132.106
mail.kabeer.people.iitgn.ac.in,204.15.132.106
mail.manua.people.iitgn.ac.in,204.15.132.106
mail.appayee.people.iitgn.ac.in,204.15.132.106
www.people.iitgn.ac.in,204.15.132.106
cpanel.webmaster.people.iitgn.ac.in,204.15.132.106
webmail.sharad.people.iitgn.ac.in,204.15.132.106
webdisk.atulsingh.people.iitgn.ac.in,204.15.132.106
cpcontacts.surjeet.people.iitgn.ac.in,204.15.132.106
mail.cst.people.iitgn.ac.in,204.15.132.106
webmail.mkumar.people.iitgn.ac.in,204.15.132.106
mse.iitgn.ac.in,192.185.129.4
arnapurna.people.iitgn.ac.in,204.15.132.106
dic.iitgn.ac.in,72.1.241.142
shanmuga.people.iitgn.ac.in,204.15.132.106
cpanel.dgarg.people.iitgn.ac.in,204.15.132.106
webdisk.manua.people.iitgn.ac.in,204.15.132.106
itigupta.people.iitgn.ac.in,204.15.132.106
gnats.iitgn.ac.in,14.139.98.80
gauravs.people.iitgn.ac.in,204.15.132.106
mail.gmanoj.people.iitgn.ac.in,204.15.132.106
cpcalendars.cst.people.iitgn.ac.in,204.15.132.106
www.bireswar.people.iitgn.ac.in,204.15.132.106
cpcontacts.tannistha.people.iitgn.ac.in,204.15.132.106
catalog.iitgn.ac.in,14.139.98.26
surjeet.people.iitgn.ac.in,204.15.132.106
babji.people.iitgn.ac.in,204.15.132.106
cst.people.iitgn.ac.in,204.15.132.106
webmail.appayee.people.iitgn.ac.in,204.15.132.106
mail.demo.people.iitgn.ac.in,204.15.132.106
math.iitgn.ac.in,192.185.129.4
donate.iitgn.ac.in,72.1.241.142
procase.iitgn.ac.in,72.1.241.142
webdisk.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106
cpcalendars.tannistha.people.iitgn.ac.in,204.15.132.106
