Domain,Total Packets,Total Bytes,Total DNS Packets,Total DNS Bytes,Total Time,Total DNS Time,TTFB
'www.inmobi.com.',202,1102538,4,504,4.7641520500183105,0.012709856033325195,5.1021575927734375e-05
'web.inmobicdn.net.',172,754533,4,878,0.6721060276031494,0.02678513526916504,7.009506225585938e-05
'googleads.g.doubleclick.net.',25,8969,4,501,0.4420959949493408,0.07288122177124023,5.91278076171875e-05
'www.google.co.in.',24,8076,4,424,0.6136729717254639,0.14019513130187988,5.1021575927734375e-05
'inner-active.mobi.',17,1814,4,464,0.4191420078277588,0.05920600891113281,8.797645568847656e-05
'instagram.com.',34,7012,8,806,0.2823300361633301,0.0676419734954834,0.000102996826171875
'www.instagram.com.',27,6656,4,612,0.23748397827148438,0.04619598388671875,5.2928924560546875e-05
'isnssdk.com.',6,392,4,284,0.030959129333496094,0.0074541568756103516,8.702278137207031e-05
'jsdelivr.net.',11,885,4,356,10.05085301399231,0.03345203399658203,9.202957153320312e-05
'kwai.net.',15,1049,4,332,10.459747076034546,0.43260717391967773,8.0108642578125e-05
'launchdarkly.com.',1240,12380942,4,380,4.111128091812134,0.012389898300170898,5.2928924560546875e-05
'consent.cookiebot.com.',60,121727,4,926,0.2192850112915039,0.06410908699035645,4.1961669921875e-05
'client-registry.mutinycdn.com.',45,73226,4,578,1.2788691520690918,0.022709131240844727,8.606910705566406e-05
'images.prismic.io.',60,175343,4,852,0.40830397605895996,0.0448911190032959,8.106231689453125e-05
'launchdarkly-marketingsite.cdn.prismic.io.',25,10521,4,1041,1.009979009628296,0.015241861343383789,4.482269287109375e-05
'bat.bing.com.',33,10499,4,816,0.31489086151123047,0.03815197944641113,4.601478576660156e-05
'www.msn.com.',31,19953,4,606,0.10682916641235352,0.02384328842163086,5.91278076171875e-05
'lencr.org.',32,7856,8,948,0.872844934463501,0.06488656997680664,5.3882598876953125e-05
'letsencrypt.org.',326,2014106,4,534,9.215798139572144,0.013695001602172852,0.0001399517059326172
'outreach.abetterinternet.org.',98,395146,4,798,1.9433090686798096,0.06794214248657227,6.604194641113281e-05
'liadm.com.',4,276,4,276,0.11330103874206543,0.11330103874206543,8.797645568847656e-05
'lijit.com.',6,592,4,484,0.14620304107666016,0.0587010383605957,8.797645568847656e-05
'linkedin.com.',11,1291,4,396,0.3293030261993408,0.06181502342224121,0.00012803077697753906
'www.linkedin.com.',71,259063,4,889,1.2868740558624268,0.0584259033203125,4.887580871582031e-05
'live.com.',13,1200,4,332,0.05730390548706055,0.015079021453857422,0.00012803077697753906
'outlook.live.com.',23,10853,4,961,1.4260239601135254,0.20019984245300293,5.412101745605469e-05
'media-amazon.com.',4,304,4,304,0.10072684288024902,0.10072684288024902,0.00010180473327636719
'media.net.',13,1482,4,338,0.902277946472168,0.2130730152130127,8.893013000488281e-05
'www.media.net.',60,144919,8,972,2.559032917022705,0.29099607467651367,7.987022399902344e-05
's31073.pcdn.co.',218,609521,4,584,21.066077947616577,0.01655411720275879,6.103515625e-05
'microsoft.com.',15,1783,4,847,0.6728789806365967,0.23607397079467773,8.606910705566406e-05
'microsoftonline.com.',6,424,4,316,0.11105203628540039,0.10919404029846191,8.392333984375e-05
'mikrotik.com.',377,1741896,4,396,7.285966157913208,0.008254051208496094,4.410743713378906e-05
'i.ytimg.com.',33,11148,6,2166,0.21863389015197754,0.01910877227783203,8.988380432128906e-05
'i.mt.lv.',99,611310,4,547,1.576490879058838,0.009407997131347656,9.298324584960938e-05
'miui.com.',16,1509,4,332,0.8342819213867188,0.031224966049194336,9.107589721679688e-05
'home.miui.com.',210,682595,4,1064,6.779989957809448,0.017899036407470703,5.1021575927734375e-05
'cia.sec.miui.com.',37,38669,4,1038,2.5582170486450195,1.2384350299835205,5.698204040527344e-05
'font.sec.miui.com.',123,422511,4,682,2.3197760581970215,0.014688968658447266,5.602836608886719e-05
'msedge.net.',16,1165,4,344,10.052479028701782,0.03517794609069824,0.00011086463928222656
'msftconnecttest.com.',6,424,4,316,0.0345461368560791,0.03131508827209473,9.202957153320312e-05
'msftncsi.com.',4,288,4,288,0.036711931228637695,0.036711931228637695,8.702278137207031e-05
'msn.com.',33,8789,8,652,0.5002331733703613,0.12856125831604004,8.916854858398438e-05
'assets.msn.com.',563,1481765,4,914,3.2928950786590576,0.034368038177490234,4.410743713378906e-05
'mtgglobals.com.',4,296,4,296,0.029978036880493164,0.029978036880493164,8.893013000488281e-05
'mzstatic.com.',16,1350,4,356,0.529217004776001,0.026960134506225586,7.510185241699219e-05
'netflix.com.',36,9042,8,1198,1.1038579940795898,0.03614187240600586,8.797645568847656e-05
'www.netflix.com.',330,1823397,4,806,3.221518039703369,0.12290096282958984,4.291534423828125e-05
'nflximg.com.',13,986,4,350,10.179311990737915,0.0066149234771728516,8.487701416015625e-05
'nflxso.net.',6,388,4,280,0.03482413291931152,0.03218507766723633,8.511543273925781e-05
'nist.gov.',14,1160,4,368,0.4981358051300049,0.028438806533813477,0.00012993812561035156
'www.nist.gov.',930,3974194,8,1496,63.28154397010803,0.1257317066192627,4.1961669921875e-05
'time.gov.',116,130783,16,1856,4.521914958953857,0.03892993927001953,4.9114227294921875e-05
'siteimproveanalytics.com.',47,44776,4,624,20.61585283279419,0.008765935897827148,3.886222839355469e-05
'nr-data.net.',9,585,4,284,0.2950470447540283,0.011911153793334961,6.318092346191406e-05
